Commentaire,star,long_com,mots_neg,trouve_int,trouve_exc,nb_pt,mot_maj,nb_maj,target
arnaque achete combinaison blanche eur lieu disant eur recu mois traces noires bas combi surtout super transparente bref impossible mettre sous vetements couleur chair grosse arnaque inadmissible vais renvoyer eur frais charges esperant etre remboursee conseille showroom prive ,1,448,4,4,0,4,3,31,0
bonjour commande showroom ndeg point relais defini commande deviee point origine km bon vouloir transporteur reponse showroom allez chercher remboursera quelle interre commander attendre mois remboursement amazon ecoute respect client priorite merci prendre exemple ,2,426,2,0,4,4,0,11,0
commander probleme retours complique article defectueux conseillers ecoutent repetent toujours pareils decue hesiterais desormais commander site surtout attends aussi commande lacoste prevue fete peres encore repoussee commande passee mai trouve peu exagere delai ,2,440,4,0,0,0,4,27,0
robes achetees showroom privees fille fille dit trou regarde coup deux robes toutes deux defectueuses trou niveau couture maille sortie autre retourne colis prenant peine mettre post it robes abimees renvoie colis retour gratuit plusieurs jours recois mail showroom disant remboursement effectue sauf enleve eur frais retour inadmissible payer robes defectueuses impossible reclamation service client depuis message erreur empeche hasard valide reclamation marche lache veux etre remboursee pris photos ,1,910,6,6,0,6,2,16,0
voleurs showroomprive vend ipad reconditionnes mauvais etat rejettent faute fournisseurs laisse demerder disant doivent appeler attends toujours depuis janvier sara service client comprends explication renseignement voici numero veepee problemes serieux ,1,422,5,0,0,0,1,14,0
bande incapable savent expedier colis malheur demander parvenir possible rembourse sans excuses geste commercial satisfaction client priorite ,1,276,3,0,0,0,0,3,0
achete pergola shorom vendu sourcidys tours paye frais livraison colis recu manque eme contient pieds depuis juin nouvelles societe repond shorom coup impossible monter paye euros site banir shorom pris reclamation compte bouge ,2,404,5,0,0,0,2,20,0
colis arriver abime meuble hannah home finition bas gamme decu envie renvoyer colis demande retour demander juin voila attend toujours etiquettes retour service client telephone non efficace juste repondre appels probleme non resolue laisserais avis favorable retour showroomprive ,1,385,4,0,0,0,3,23,0
fuir showroomprive cas probleme service client deplorable nul passe passe commande mai vente lacoste recois mail informant livraison va etre retarde tard juin or recois colis articles manquants commande comment numero vente lacoste passe commande espoir offrir fete peres arrive dimanche retrouve commande incomplete aucune information reste commande showroom repond attendre mdr malins culotte premiere rencontre problemes colis franchement deconseille vivement maintenant acheter showroomprive commande arrive commande incomplete explique casse tete etre rembourse cas cliente attention futur acheteur prevenu incompetence showroomprive aujourd hui juin certainement reste commande dimanche images clients sais repondre reste commande font ventes savent assumer savent repondre clients merci rembourser vite envoyer commande aujourd hui cher service client showroomprive preuves vu commentaires negatifs pense allez perdre mal clients ,1,1567,12,21,0,21,0,13,0
commande sacoche pull lacoste mois demi deja temps attente enorme grave contre colis euros recu article deux envoye mail hier toujours reponse ,1,303,1,0,0,0,0,3,0
repondent mails reclamation malgre relance message truspilot laissent message toujours truspilot indiquant vont contacter attends encore nouveau relance mail telephone supposee recu mail juin dernier boite reception spam bonnes gens fuyez ,1,381,1,1,0,1,0,5,0
service client expeditif mauvaise qualite telephone connaitre procedure renvoi personne informe correctement erreur refuse rembourse article fuir problemes ,1,263,5,0,0,0,6,27,0
showroom trompe envoi commande montre recu article commande retour dois payer affranchissement erreur cote retour devrait etre gratuitencore plan malhonnete enseigne vend vraies marques nettoyeur vapeur polti vu commerce site polti emballage laissait desirer colissimo renforce adhesif nom etelle vend articles marques existees autrefois arrete commerces chinois rachetent marques chinois creent egalement marques noms europeens sonne bien montres correspondent prix origine soi disant affiches soldes semblent tres interessantes montre euros soldees semble possible type montres achete egalement articles correspondent exactement photos bagues sacs marques soldes semblent douteuses camelote mauvaise qualite ayoub inutile reponse part showroom site trust pilote directement contact euxmais vu reponses toujours memes demande existez vraiment robot ,1,1404,3,0,1,1,0,24,0
service clients epouvantable malhonnete refuse colis dechire contenant tasses cassees showroomprive refuse rembourser transporteur note colis livre croire enquete aupres transporteur dure jours selon finalement repondre colis livre viens ecrire telephonistes lamentables fais illusions showroomprive termine pourtant beaucoup achete site depuis annees accepte voler ,1,627,4,0,0,0,0,8,0
toujours cliente showroom jamais decue quelques jours recois article non conforme envoie bon retour dois avance frais hors question dit envoyer bon chronopost juste mettre colis boite lettres sauf recois bon rebelote disant probleme bons retour bref tant pis vais revendre article certainement cher celui viens recevoir hyper decue ,1,519,3,0,0,0,3,24,0
decue souvent commande showroom prive toujours livree rapidement commande maillot bain recois message informant retard livraison maintenant annoncee depart vacances aucun numero suivi mondial relay impossible savoir colis commande ,1,360,2,1,0,1,0,4,0
site propose beaucoup articles prix interessants pb commandes arrivent jamais rupture stock colis perdu endommage etc vrai perdez argent remboursent produits site eviter fortement ,1,321,4,4,0,4,1,12,0
voleur escroc mauvaise experiencelivraison recu moitie contacte service client aucune reponse aucun dedommagement dedouanement rejettant faute fournisseur injoignable scandale fuir ,1,258,4,12,0,12,0,5,0
tres mauvais service retour deux semaines receptionner retour payante cher frais livraison paye initialement jamais achete showroom ,1,192,2,0,0,0,0,3,0
mois commande etre livre showroom trainer affaire malgre appels messages pourtant chronopost indique colis perdu ,1,174,1,0,0,0,0,3,0
cliente depuis annees deception totale recu colis endommage manquait produit petite valeur semaines investigation obligatoires recois mail disant commande bien livree mauvaise reponse part quitte fichier client retours payants ,1,321,2,0,0,0,0,4,0
commandes partiellement livrees certes recoit remboursement produits non livres frais livraison devraient etre reduits plutot annules completement geste commercial normal valide commande puisse produits epoque connait stock instant plusieurs ricard produit souhaitais surtout disponible commande site bien complique part telle situation reponse ,1,633,4,0,0,0,0,4,0
dernierement publie avis mentionnant mauvaise experience lors achat lot boxers fila plusieurs echanges showroomprive services clients finalement accepte retourne articles analyse abouti decision rembourser bravo showroomprive accepte revoir position ,5,344,1,0,0,0,1,10,1
jamais escrocs voleurs qualites produits minables ,1,76,2,1,0,1,0,2,0
memes horribles experiences beaucoup autres personnes ici apparemment bonne cliente showroom marques prix proposes interessants enorme deterioration services sentir depuis quelques temps moyen recevoir seule commande conforme toujours erreurs articles commande jupe recois chaussures hommes commandes perdues nature incompletes sans moindre explication pieds mains aupres service client repond semaines tard retours frais client bonnement inacceptable resultat adorais showroomprive maintenant bout dizaine commandes defectueuses assez perdre temps argent commande concurrence jamais aucun souci showroomprive mene politique idiote client vraiment pris vache lait seulement bon donner sous sans soucie satisfaction service client quasi inexistant aucunement ecoute limite arnaque comprends site encore ferme enteter voie showroom train perdre tous clients ,1,1326,9,0,0,0,2,21,0
bonjour reserve voyage egypte site showroom bien debites argent er voyage annule operateur travel evasion reporter vacances eme nouveau annuler aucunes explications phone mail depart prevu juin apprends avant jours voyage encore annule comprends pourquoi donne egypte ouvert touristiques travaillant aeroport plusieurs personnes rendent attention conseille attention site travaillent argent pendant temps appelez site malheureusement personnes bouts fils mesure repondre personne rappel egalement ,1,828,7,0,0,0,0,13,0
passe commande fin janvier recue fevrier montre vente ourlet surprise defaut invisible dysfonctionnement fermoir essaye contacter fournisseur adresse mail introuvable contre envoye mal mails showroomprivee renseigner service vente garantie mois meilleure dit garantie couvre fermoir montre navres fermoir montre casse non excusez defaut venu montre fermoir tient pris photo montre toujours neuve encore reponduvraiment eviter premiere derniere achete vraiment decue ,1,855,7,4,0,4,0,7,0
jusqu present etais satisfaite showroomprive commandes conformes lorsqu soucis oui arrive mauvaise pointure flacon ouvert deverse colis service client toujours mieux vis martinique rares sites livrer certes livraison couteuse restait raisonnable seulement depuis qq temps deteriore frais livraison commence augmenter facon surrealiste livrer mascaras couterait euros depuis qq temps commandes facilement jugees trop volumineuse impossible livrer shampoing moque monde ,2,759,4,13,0,13,0,11,0
passe commande articles brosse electrique recharges recois mail dire colis arrive vais chercher point relais surprise enveloppe contient uniquement recharges appel service client showroom privee sort dois appeler vendeur etonne lors debit carte bien ecrit intitule showroom reponse part tres decu societe termine commande recommande ,1,581,0,0,0,0,20,89,0
profite vente eastpak changer sac fille vient lacher choisis modele out of office connais bien puisque soeurs choisit couleur bleu canard noir aujourd hui allons recuperer mauvaise surprise deballage modele padded couleur crafty moss bon modele bonne couleur viens imprimer bon retour espere bien etre remboursee totalite somme versee malgre commentaires desastreux viens lire site fuir ,1,578,6,5,0,5,0,12,0
aujourd hui anniversaire showroom prive pense envoyant bon achat euros boite mail super fonce commande paire baskets probleme bon achat passe commande validee appelle ecris service client deduisez commande impossible dit conseillere devez verifier date anniversaire oui apprend commande validee bon achat envoye autre adresse mail droit bon achat commande faut repasser nouvelle commande oui moche manquer savoir vivre point refuserai colis nouvelle face manque souplesse ,1,781,5,0,0,0,0,13,0
achat coupon reduction site apprendre anglais offre bien moins chere site officielle coupon disponible achat fonctionnel ,5,191,1,0,0,0,0,2,1
commande tapis deux mois livrables debut mai debut mai problemes techniques retard traitement showroom puis livraison prevue mai colis arrive transporteur mai contact prise rdv juste date livraison prevue mai niveau suivi colis contact aupres showroom disent vont intervenir reception mail bout quelques jours livraison cours date precise appel nouveau relance enquete reponse livraison cours appelais sans cesse plates excuses chaque puis mail date livraison juin entre heures heures aucune livraison recontact showroom lundi matin societe livraison relais colis contacte excuse disent beugue informatique rdv parvenu prise rdv telephone rdv pris jeudi juin entre aucune livraison appelle showroom nieme enerve tombe nieme interlocuteur incompetent repond peuvent commande cours explose colere trop durer personne peut dire colis apparemment arrive mauvais depot propose annuler commande euros proceder remboursement ok pose clairement question doivent attendre retour commande declencher remboursement affirme non quelques minutes raccroche recois mail informant annulation remboursee commande receptionnee rappelle dois encore repeter historique annonce oui devrai attendre demande parler responsable lors appel semaine derniere matin idem aussi demande parler responsable encore arrive demande celui ci rappelle arrivee attends toujours appel aujourd hui attendu responsable rappelle toujours matin voulu voir commande bien annulee decouvre message quoi commande retournee mauvais etat allaient proceder remboursement semblait avancer boum midi recois appel transporteur aucune excuse non livraison hier simplement reprendre rdv mardi prochain moque toujours commande entrepot agents venue signaler matin coin trainait commande depuis bon moment fuyez societe premiere problemes fuyez ventes linge lit color full affreux qualite zero moins cinq correspond commandez frais retour charge payez petit peu cher allez ailleurs prends contact ufc choisir ,1,3214,20,0,1,1,4,72,0
fin dessous bizarre depuis communique numeros commandes demandees showroom compte bloque resume ethique entreprise vais aller voir cote choisir dit trustpilot envoye mail vu reaction tiens avis restent publies envois toutes infos necessaire commandes fais desormais concurrents ,1,469,1,0,1,1,0,10,0
bonjour annulation commande chaussures annulee effectuee autre vente validee service client assuree mail allaient livrer date prevue hier commande annulee nouveau sans raison demande vente bien existe agit juste vente fictive service client adresse exactement message derniere jamais contactee extremement decue regrette perdu temps argent commandant sowroompriveje remercie ,1,588,7,0,0,0,0,9,0
frais retour eur livraison vers eur quelle arnaque su garde article jamais decu retours autres enseignes toujours gratuit payer double aberrant ,1,267,1,0,0,0,1,10,0
fuir compte bloque souhaitez retourner article impossible reponse concrete service client allez voir ufc choisir semble etre pratique courante blocage compte sans raison moment passez commande lorsque devez retourner prefere payer cher veepee moins sav etre respectee tant cliente ,1,397,3,0,0,0,2,11,0
achat canape showrooprive euros maison aubertin vendu disant euros faisais economie allee voir curiosite amis dit showrooprive arnaquait clients effectivement canape couleur vendu euros grosse arnaque craint vraiment appele sav showrooprive propose refuser canape livraison franchement bravo jamais vu ,1,525,3,19,0,19,0,10,0
avant passer commande site voulu voir avis concernant bien parcourant topic remarque negatif clients satisfaits reponses service client reponses types mr ayoub dit plaintes clients resolus vais voir ailleurs ,1,351,0,0,0,0,0,3,0
franchement vol achete bijou irl arrive pierre manquante appelle sav demande retour precisant objet endommage defectueux livraison achat rembourse entierement recois remboursement aujourd hui deduction euros frais retours inadmissible sachant bijou envoye deja defectueux sav reponds motif retour valide retire frais quelle arnaque envoye bijoux mal encore garder argent gens dire service controle qualite attend mail service demande photo bijoux avant retour heureusement penser plusieurs mesaventures showroom prive pense acheter site decu experience euros retour reste sous sortis poche ,1,994,8,13,0,13,3,21,0
experience horrible pires vie souhaite acheter aspirateur appli eur effectue parcours valide somme site banque retourne showroom gros bug appelle service client commande non confirmee prise compte debite aucun probleme re essaie probleme explication sav hier soir rappelle sav assez colere voir commandes finalement validees jours envoyees bien bien preleve eur cause enorme bug appli merci ailleurs conseillere telephonique raccroche nez aucun manque respect part precise merci showroom prive dis adieu ,1,866,5,1,0,1,3,25,0
facture frais expedition chaque livraison partielle gentils laisser choix client merci avance ,3,125,1,0,0,0,0,3,0
passe commande articles sais pourquoi commande part colis cadre sticker colis arrive bon relay autre relay km reponse showrooprive peut renvoyer colis bon relay demande prise charge frais port accepte recupere colis gene laisser travail livreur payer frais livraison deja origine proposition accepte environ remboursement service client deplorable cadeau fete peres merci showrooprive ,1,685,1,0,0,0,0,7,0
bonne cliente showroomprive souci marque sixieme sens sandales achetees euros mise semelles decollaient bride detachee semelle enfin horreur aucun geste commercial aucun retour possible soi disant depassement delai surtout reproche utilise sandales daube produit showroom super mauvais service vente ,1,449,3,0,0,0,0,4,0
fuir achete matelas balles disant moins fabricant livraison payante eur aparament savaient montant enorme livraison doit etre gratuite minime dit bonne affaire confiance achete consulte site fabricant grande surprise prix showroom proposent livraison gratuite retour jours jiurs retour comble disaient livraison rendez partir juin livreur livrera rendez confirme juin km loin maison livreur hyper presse appelle veut prix livrer commande veut revenir autre deposer point relais improviser embeter autres personnes pouvoir recuperer commande attendre site dupe mettant prix gonfles livrent grosse commande sans tenir courant mettent informations suivi commandefranchement desinstalle appli desabonne mailing liste ,1,1245,4,0,0,0,1,13,0
vu beaucoup commentaires negatifs showroomprive part jamais aucun souci depuis an commande toutes commandes conformes bon etat delais annonces quant service client contacte aujourd hui information premier retour deja recu reponse midi dirais assez efficaces experience positive jusqu present ,5,479,2,0,0,0,0,7,1
service client deplorable compare celui entreprises genre effectue commande octobre heure actuelle fais encore balader service client recu article mauvaise qualite premier temps annonce remboursement puis dit finalement reparation article probleme qualite base recu adresse renvoyer article bonne adresse encore erreur part service client contente dire merci ignorer mail precedent chaque trompent finalement donne bonne adresse article repare casse peu temps puisque probleme bien qualite base nouvelle deconvenue confirmation telephone email ecrit noir blanc allais etre remboursee renvoyais nouveau article toujours aucun remboursement depuis article maintenant dit remboursement possible erreur dit retrouve sans article sans remboursment vraie honte beau rappeler renvoyer mails demandes ignorees croire autre service va occuper comprends comment service client peut etre aussi deplorable proposent erreurs repetees manque serieux tiennent aucun engagement toutes personnes jointes telephone peuvent engage demarches resoudre litige doute bien showroomprive fera aucun effort cote satisfaction clientele semble importante yeux commande beaucoup genre sites autres services clients beaucoup reactifs fiables renouvellerai certainement experience achat showroomprive ,1,2126,18,13,0,13,1,22,0
colis non conforme commande sav incompetent retour impossible partir smartphone passez chemin ,1,121,2,0,0,0,1,5,0
commande haut fille prevu rentrer pendant vacances contact covid pu rentrer prevu rentre essayer haut malheureusement trop grand appele service client date retour depasse jrs explique circonstance promis responsable va appeler sous hrs appel rappele nouveau toujours promesse appel envoye mail responsable voulait entendre plusieurs argument propose demander medecin fille attestation appele medecin malheureusement absent envoye mail expliquant medecin absent certificat medecin retour surprise voila reponse mail responsable envoye honte ndeg commande vente guessbonjour swaleha permets revenir vers sujet commande citee objet effectivement bien lu mail repondu connaissance cause lors echange telephonique clairement explique delai depasse ensuite evoque raison retard demandais preuve voir service retour sauf absence preuve indisponibilite momentane medecin peux effectuer demande retour mail explicit tenant compte convenu telephone sincerement navre situation cordialement jonasservice client showroomprive com ,1,1663,7,0,0,0,0,27,0
mauvaise manipulation portable valide commande table basse erreur impossible annuler commande crois rever vraiment vais devoir attendre livraison puis renvoyer table frais article encombrant eur charge faut vraiment explique pourquoi annuler commande secs suivent possible peut etre deja emballe charge expedie seconde grand importe quoi ,1,519,6,0,3,3,1,15,0
nul nul plusieurs commandes passees plusieurs mois attente article arrive bon commande entre aout juin fuir absolument perte temps rembourse frais envoi rembourse mal incompetent ,1,304,6,0,0,0,0,5,0
commande showroomprive lunch box lors vente debut mai colis arrive parfait fille gouter belle soeur lanieres celui fille craque bon peut arriver mauvaise manipulation puis jours tard mien craque dimanche juin celui belle soeur produits irreparables coute euros frais port sachant achete site economies decide mail photos montrer contenu sac ances lache repond delais jours retour depasse contacte telephone explique situation souhaite renvoyer lunch bag remboursement envoit debut gentillement boulet repetant boucle delais depasse explique nouveau euros utilisation semaines cher paye prend haut peut etre peux assoir euros lunch box honte parle mur demande responsable met attente puis dis service contacte dit chose peuvent demande contact fournisseur marchandise mauvaise qualite encore refus ose dire mal utiliser articles oui dois lances lunch box pendant pause dejeuner mauvaise scandaleux geste garder client politesse fin ecoutait choquee compte commander site commande veepee servive client top gens parlent correctement polis vulgaires robots prennent clients pigeons compte rester ,1,1963,10,6,0,6,0,23,0
mois demi attente recevoir mauvais articles ,1,63,1,0,0,0,0,0,0
bluffee service client attente telephone reponse claire remboursement rapide donne confiance retournerai ,5,154,1,0,0,0,0,2,1
commande point livraison modifie date livraison retardee commande point livraison modifie colis explose destruction contenu emballage adapte remboursement toujours effectue semaines reception service retour site indique jours ouvres lorsque appelle sav rencontre degre mauvaise foi rarement egale desagreable impression etre prise etais cliente showroomprive depuis longtemps tant pis passe concurrence ,1,570,2,1,0,1,1,9,0
montre marque bracelet decolle premier bizarre veut rembourser mauvaise experience ,1,123,3,0,0,0,0,3,0
vente facticej commande siege auto showroomprive mois commande egalement deux autres articles alles chercher articles arrives mai seuls articles rayon raison ignorons eme article disant retourne service retour or point retrait jamais entrepots eme article aussi dame poste point relai laisse prendre photo ecran outil travail dessus affiche message attention manque paquet commande client peut neanmoins retirer paquets contre remboursement necessaire revenir tard chercher manquants siege auto disparu plusieurs tentatives trouver numero service client showroomprive aucune information donnee site reussi joindre monsieur toute evidence situation ainsi informa colis retourne service retour showroom maintenant impossible renvoyer allai etre rembourse fallait croix siege bebe attendais depuis mois lequel suspendu toutes autres demarches aquissition lorsque demandais monsieur raison eme article retourne autres pu etre retire su quoi repondre lors fis remarquer monsieur eme article jamais arrive point relai encore reponse ainsi compris trompe showroom depit lois protection consommateurs procede vente factice achete siege auto existait moins quantite suffisante satisfaire nombre vente faites site face limites intervention monsieur repondre interrogations soulevait situation demandais parler responsables assura entre allait rappeler lendemain mai aujourd hui mai attends toujours situation inacceptable aucun site vente droit juridiquement abuser consommateur faisant miroiter produits peut ensuite fournir agit vente factice procede puni loi aussi pris photos toutes etapes acheminement articles autre ecran appareil enregistre arrivees departs commandes depot retrait autres articles commandes certain compte rester showroomprive agissements reprehensibles doivent repondre autant pendant mois attente argent compte bien showroomprive viendrait rendre beneficie pendant mois sans raison aucune puisque site vendu produit existait ailleurs menteurs assurant ainsi siege retourne jamais arrive facons mafieuses malhonnetes vais constituer dossier malversation adresser directement association consommateur ainsi assistance juridique dont avocats specialistes coeurs defendre situation ,1,3614,8,0,0,0,2,42,0
decu retour article trop petit voulu essayer site tant nouvelle cliente recommanderai celui ci commande paires chaussures pointure seule paire va autres entant trop petites regarde retourner paires apercoit site informe retenue retour difference remboursee trouve honteux sachant trompee pointure tarif pratiquement moitie paire devais renvoyer site eviter ,1,600,2,0,0,0,0,2,0
passee commande hier soir lot valise tous bien passe jusqu niveau valider operation banque validation faites niveau banque site redirige vers application showroomprive disant commande bien enregistre sous numero suivant sauf aucun numero commande apparait recu mail confirmation commande enceinte besoin valise espere vraiment etre preleve numero commande mail confirmation ,1,602,1,0,0,0,0,6,0
achete store banne mars colis verifie okquelle surprise hier monte impossible regler droitapres regarder plusieurs forum plusieurs personnes probleme store inutilisable euros perduje vais appeler demain pff degoute ,1,304,2,0,0,0,1,6,0
decu commande valise jamais arrivee marquee livree signature gardien sachant aucun gardien residence etais toute journee toute demarche reclammation attestation honneur photocopie cni process dure jours espere bien etre remboursee article renvoye changez transporteur showroom gls cas ere commande derniere ,1,515,3,0,0,0,2,10,0
bonjour stupefaite service client showroomprive lors reception commande apercois deux articles commandes bon telephone service client demande retour jusque aucun probleme sauf etiquette prepayee disponible espace ligne contacte service client mail nouveau telephone toujours etiquette prepayee retour semaine quasiment parle bug informatique dois asseoir remboursement sixieme appel service client dit rappeler heures seconde heures maintenant dit rappeler minutes moque repond mails suivre procedure remboursement comprends bien procedure remboursement peux renvoyer colis sans etiquette prepayee service client desagreable phrases toutes faites sans aucune solution apporter resumer trompent commande premiere arrive font aucun geste commercial fournissent etiquette prepayee remboursement totalement insatisfaite compte appel association consommateurs honteux moquer ainsi clients ,1,1512,6,11,6,17,0,17,0
gens telephone incompetents excusent reglent aucun probleme vaisselle mal emballe expedie poste jamais vu vaisselle poste vaisselle cassee aucun recours showroomprive refuse renvoyer assiette cassee ebrechees propose euros dedommagement or commande service complet assiettes manquantes penalisent service deconseille fortement site amis egalement gros problemes ,1,508,7,0,0,0,0,2,0
effectue commande produits decevants correspondent taille decide appeler sav part souhait retour conseillere telephone desagreable impression deranger raccrochee nez comprendre parler cliente fidele achete regulierement premiere personne aussi desagreable retour dit payerai euros retour aussi paye frais livraisons lors commande decue reflechirai deux avant acheter ,1,687,2,0,0,0,2,12,0
achat meuble television composition murale elements fixer mur achat delai super long bon prenons plait livraison colis abimes montage complique notice bidon visse trop longue meuble abime impossible mettre television dessus prevus passer fils interieur ailleur oblige trous bref trop decu prix abuse conseil ,1,475,4,4,0,4,0,8,0
bonjour commande article paye frais livraison marchandise livre interieur domicile livreur appelle demande descendre recuperer colis refuse celui ci dit mettre colis ascenseur toujours recu colis aussi mail disant colis bien recu toujours nouvelles deconseille commander site show room prive ans client recommence irai concurrence ,1,584,0,0,0,0,0,10,0
decue commande passee vente minelli commande paires chaussures identiques couleurs differentes dont voulais particulierement resultat commande arrivee peu retard qql jours grave mauvaise paire chaussures place celle voulais evidemment pomme puisque modele vente permets paire souhaitai echange renvois mauvaise attendre prochaine vente dit coup repayer frais port vont biensur premiere coup prochaine irai surtout voir concurrence ,2,734,6,10,0,10,0,7,0
showrooprive fuir acheter bijoux di giorgio commande showroomprive bague marque di giorgio argent partie plaque or argent mois celle ci presente defaut plaquage or tient contacte showoomprive expliquant probleme malheureusement annonce garantie bague seulement mois jours garantie showroomprive veut services contactes telephoniques deplorables personnes contact eventuels litiges problemes contentes lire ecrans mal aimables impossible correspondant serieux voila retour experience question commander quoi soi vais porte parole afin sache compare services amazon veepee societe showrooprive annees lumieres service client convenable cas litige ,1,1007,8,4,0,4,1,20,0
commande bague bracelet guessgros lol porte bague seule journee celle ci toute oxyde bracelet presenter traces rayures articles contre facon bagues banal petits commerces oxyde moins vite ,1,307,0,8,0,8,0,6,0
frais transport exorbitant mois delai expedition recevoir finale deux produits bas gamme pourtant chers sans oublier retour eur point relais conclusion deja deconseille finalement ecouter plutot perdre eur ,1,307,3,0,0,0,0,4,0
nul nul plusieurs commandes passees plusieurs mois attente article arrive bon commande entre aout juin fuir absolument perte temps rembourse frais envoi rembourse mal incompetent ,1,304,6,0,0,0,0,5,0
commande showroomprive lunch box lors vente debut mai colis arrive parfait fille gouter belle soeur lanieres celui fille craque bon peut arriver mauvaise manipulation puis jours tard mien craque dimanche juin celui belle soeur produits irreparables coute euros frais port sachant achete site economies decide mail photos montrer contenu sac ances lache repond delais jours retour depasse contacte telephone explique situation souhaite renvoyer lunch bag remboursement envoit debut gentillement boulet repetant boucle delais depasse explique nouveau euros utilisation semaines cher paye prend haut peut etre peux assoir euros lunch box honte parle mur demande responsable met attente puis dis service contacte dit chose peuvent demande contact fournisseur marchandise mauvaise qualite encore refus ose dire mal utiliser articles oui dois lances lunch box pendant pause dejeuner mauvaise scandaleux geste garder client politesse fin ecoutait choquee compte commander site commande veepee servive client top gens parlent correctement polis vulgaires robots prennent clients pigeons compte rester ,1,1963,10,6,0,6,0,23,0
mois demi attente recevoir mauvais articles ,1,63,1,0,0,0,0,0,0
bluffee service client attente telephone reponse claire remboursement rapide donne confiance retournerai ,5,154,1,0,0,0,0,2,1
commande point livraison modifie date livraison retardee commande point livraison modifie colis explose destruction contenu emballage adapte remboursement toujours effectue semaines reception service retour site indique jours ouvres lorsque appelle sav rencontre degre mauvaise foi rarement egale desagreable impression etre prise etais cliente showroomprive depuis longtemps tant pis passe concurrence ,1,570,2,1,0,1,1,9,0
montre marque bracelet decolle premier bizarre veut rembourser mauvaise experience ,1,123,3,0,0,0,0,3,0
